N° del Establecimiento,Nombre del Establecimiento,Direccion,Mesa,Total de votantes,Cantidad de votantes,Hora,GOB-Votos afirmativos,GOB-Votos en blanco,SEN-Votos afirmativos,SEN-Votos en blanco,DIP-Votos afirmativos,DIP-Votos en blanco,INT-Votos afirmativos,INT-Votos en blanco,CNJ-Votos afirmativos,CNJ-Votos en blanco,Votos nulos
4089,General Pizarro,Belgrano 609,2933,348,41,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2934,348,34,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2935,348,50,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2936,348,48,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2937,348,39,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2938,348,48,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2939,348,40,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2940,348,51,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2941,348,50,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2942,348,35,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2943,348,31,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2944,348,37,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2945,348,50,10:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2933,348,101,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2934,348,85,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2935,348,106,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2936,348,110,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2937,348,96,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2938,348,115,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2939,348,96,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2940,348,73,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2941,348,102,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2942,348,105,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2943,348,102,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2944,348,87,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2945,348,93,13:00,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2933,348,150,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2934,348,140,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2935,348,161,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2936,348,180,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2937,348,140,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2938,348,160,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2939,348,170,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2940,348,191,15:30,,,,,,,,,,,
4089,General Pizarro,Belgrano 609,2941,348,147,15:30,,,,,,,,,,,
